time;Intake temp.          ;Throttle pos.                     ;Injection time             ;Vehicle speed       ;Coolant temp.     ;Lambdaintegrator 1                 ;Lambdaintegrator 2                 ;Air mass                     ;Load                         ;Current RPM                 ;Target RPM               ;Engine temp.               ;Pedal pos.                  ;Battery voltage                         ;camshaft position bank 1;camshaft position bank 2;Ignition angle              ;Knock sensor Cyl.1;Knock sensor Cyl.2;Knock sensor Cyl.3;Knock sensor Cyl.4;Knock sensor Cyl.5;Knock sensor Cyl.6;Knock sensor Cyl.7;Knock sensor Cyl.8
28627;36.75;3.52944;4.096;0;31.5;0.999424;0.999424;21.8;5.67635;662.5;650;56.25;0.781248;13.775;1.0803;-0.2379;-2.25;0.78124;0.937488;0.78124;0.859364;1.01561;1.24998;0.898426;1.01561
28857;36.75;3.52944;4.064;0;31.5;0.999424;0.999424;21.5;5.62905;650.5;650;56.25;0.781248;13.87;1.1778;0.0234;-2.25;0.820302;0.97655;0.742178;0.820302;1.01561;1.24998;0.937488;0.97655
29087;36.75;3.52944;4.128;0;31.5;0.999424;0.999424;21.5;6.2333;640.75;650;56.25;0.786131;13.585;-0.2808;-0.0234;-1.5;0.859364;1.01561;0.78124;0.859364;0.97655;1.21092;0.859364;0.97655
29317;36.75;3.52944;4.112;0;31.5;0.999424;0.999424;21.2;6.29586;639.25;650;56.25;0.781248;13.965;-0.624;-0.1911;-1.5;0.820302;0.97655;0.78124;0.898426;0.97655;1.17186;0.820302;0.937488
29547;36.75;3.52944;4.144;0;31.5;0.999424;0.999424;21.1;6.32791;636.5;650;56.25;0.781248;13.68;-0.5772;-0.5811;-1.5;0.78124;0.937488;0.820302;0.898426;1.01561;1.1328;0.78124;0.937488
29776;36.75;3.52944;4.144;0;31.5;0.999424;0.999424;20.9;6.35843;637;650;56.25;0.786131;13.775;-0.5109;-0.2262;-1.5;0.820302;0.97655;0.820302;0.937488;1.01561;1.17186;0.820302;0.97655
30006;36.75;3.52944;4.144;0;31.5;0.999424;0.999424;21.5;6.37979;641.75;650;56.25;0.786131;13.965;-0.4758;0.1014;-1.5;0.859364;1.01561;0.78124;0.937488;1.05467;1.1328;0.859364;0.97655
30236;36.75;3.52944;4.144;0;31.5;0.999424;0.999424;21.7;6.1097;643.75;650;56.25;0.781248;13.965;-0.4056;0.0897;-2.25;0.859364;0.97655;0.742178;0.898426;1.09374;1.05467;0.859364;0.97655
30466;36.75;3.52944;4.144;0;31.5;0.999424;0.999424;21.4;6.42099;642.75;650;56.25;0.781248;13.965;-0.5148;-0.2223;-1.5;0.820302;0.97655;0.78124;0.898426;1.05467;1.09374;0.820302;0.937488
30696;36.75;3.52944;4.16;0;31.5;0.999424;0.999424;21.8;6.41183;638.5;650;56.25;0.781248;13.965;-0.0117;-0.2574;-1.5;0.78124;1.01561;0.820302;0.937488;1.09374;1.1328;0.859364;0.97655
